Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0020-BRA,2022,0020,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Minas Gerais,"Heavy rains, La Nina","Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,1,2022,1,14,15,32,,,32,,,,,50000,,,1,677,,Minas Gerais (Adm1).
2022-0065-BRA,2022,0065,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Sao Paulo state,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,1,1,2022,2,4,35,12,3000,,3012,,,,,65000,,,1,689,,Sao Paulo (Adm1).
2022-0089-BRA,2022,0089,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Miracema, Laje do Muriae, Santo Antonio de Padua, Italva and Itaocara municipalities (Rio de Janeiro state)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2022,2,13,2022,2,16,272,197,15000,886,16083,,,,,25000,,,1;2,671;676,6442;9925;9926;9930;9938;9963,"Distrito Federal, Mato Grosso Do Sul (Adm1). Italva, Itaocara, Laje Do Muriae, Miracema, Santo Antonio De Padua, Sao Jose Da Laje (Adm2)."
2022-0109-COL,2022,0109,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"San Pablo, Los Andes, Santa Cruz, Túquerres. (Nariño Department)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,2,18,2022,2,22,1,,1650,,1650,,,,,,,,2,,14095;14113;14117;14123,"Los Andes, San Pablo, Santa Cruz, Tuquerres (Adm2)."
2022-0097-DEU,2022,0097,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),Germany,DEU,Western Europe,Europe,"Brocken, Kahler Asten; North Rhine-Westphalia; Lower Saxony, Saxony-Anhalt",,Flood,,Yes,,,,152,Kph,,,,,2022,2,16,2022,2,17,3,,,,,,,,,,,,,,,
2022-0081-DNK,2022,0081,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Denmark,DNK,Northern Europe,Europe,,,Surge,,,,,,,Kph,,,,,2022,1,28,2022,1,31,1,3,,,3,,,,,,,,,,,
2022-0027-AFG,2022,0027,EQ-2022-000008,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Qadis (Badghis province) Ghor and Hirat provinces,,,,,,,,5,Richter,34.929,63.621,16:10,45 km E of Qala i Naw,2022,1,17,2022,1,17,28,4,,4000,4004,,,,,,,,1;2,280;282,99954,"Ghor, Hirat (Adm1). Qadis (Adm2)."
2022-0060-AFG,2022,0060,,Natural,Hydrological,Landslide,Avalanche,,,Afghanistan,AFG,Southern Asia,Asia,Kunar Province,,,,,,,,,,,,,,2022,2,7,2022,2,7,19,,,,,,,,,,,,,,,
2022-0105-ARG,2022,0105,WF-2022-000173,Natural,Climatological,Wildfire,,,,Argentina,ARG,South America,Americas,"Santo Tomé, Ituzaingo, San martin, General Alvear, San Miguel (Corrientes Province)",,,,,,Yes,,,Km2,,,,,2022,1,,2022,3,11,,,124085,,124085,,,,,730000,,,2,,4602;4605;4614;4615;4617,"General Alvear, Ituzaingo, San Martin, San Miguel, Santo Tome (Adm2)."
2022-0046-AUS,2022,0046,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,Eastern Queensland,Remanant Tropical Cyclone Seth,,,,,,,,Km2,,,,,2022,1,8,2022,1,8,2,,200,,200,,,,,75000,,,1,473,,Queensland (Adm1).
2022-0103-AUS,2022,0103,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,"Mount Glorious, Bracken Ridge, Clontarf, Cooran, Pomona, Alderley, Lower Springbrook, Brisbane, Gympie , Sunshine Coast, Gold Coast i(south-eastern Queensland); Uki, Kunghur, Rosebank, Rous River, Nimbin, Mullumbimby, Bentley, Nana Glen , Blackbutt , Sydney , Warragamba (New South Wales)",Heavy rains,,,,,Yes,,,Km2,,,,Brisbane and Mary Rivers,2022,2,22,2022,3,3,22,,54000,,54000,,,3700000,,5900000,,,1;2,470,154667;154693,"New South Wales (Adm1). Gold Coast (C), Sunshine Coast (R) (Adm2)."
2022-0112-BEL,2022,0112,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Eunice' (Zeynep),Belgium,BEL,Western Europe,Europe,,,,,,,,,,Kph,,,,,2022,2,18,2022,2,18,2,,,,,,,,,,,,,,,
2022-0102-BOL,2022,0102,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,O'Connor Province (Tarija Department),Heavy rains,,,,,,,,Km2,,,,,2022,2,20,2022,2,22,60,,375000,,375000,,,,,,,,2,,40541,Burnet O'Connor (Adm2).
2022-0004-CHN,2022,0004,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Lijiang, Ninglang Yi, Yulong Naxi (Yunnan)",,,,,,,,5,Richter,,,,,2022,1,2,2022,1,2,,30,29000,,29030,,,,,51000,,,1,929,,Yunnan Sheng (Adm1).
